original_name,official_name
Aberdeen,Aberdeen City
Antrim,Antrim and Newtownabbey
Antrim and Newtownabbey Borough Council,Antrim and Newtownabbey
Antrium and Newtownabbey,Antrim and Newtownabbey
Newtownabbey,Antrim and Newtownabbey
Armagh,"Armagh City, Banbridge and Craigavon"
Dagenham,Barking and Dagenham
London Borough of Barnet,Barnet
Belfast City,Belfast
Belfast City Council,Belfast
Entity is a location within Birmingham,Birmingham
Blackburn,Blackburn with Darwen
Entity is a location within Blackpool,Blackpool
Bournemouth,"Bournemouth, Christchurch and Poole"
Christchurch,"Bournemouth, Christchurch and Poole"
Christchurch and Poole,"Bournemouth, Christchurch and Poole"
Bristol,"Bristol, City of"
City of Bristol,"Bristol, City of"
London Borough of Camden,Camden
Edinburgh,City of Edinburgh
"Edinburgh, City of",City of Edinburgh
City of Coventry,Coventry
Derry,Derry City and Strabane
Derry and Strabane,Derry City and Strabane
Strabane,Derry City and Strabane
Eden,Eden
Fermanagh,Fermanagh and Omagh
Glasgow,Glasgow City
Entity is a location within Glasgow City,Glasgow City
Hereford,"Herefordshire, County of"
Herefordshire,"Herefordshire, County of"
Anglesey,Isle of Anglesey
King's Lynn,King’s Lynn and West Norfolk
City of Kingston upon Hull,"Kingston upon Hull, City of"
Hull,"Kingston upon Hull, City of"
Kingston upon Hull,"Kingston upon Hull, City of"
Lisburn and Castlereagh City Council,Lisburn and Castlereagh
Liverpool City,Liverpool
Entity is a location within Newark and Sherwood,Newark and Sherwood
Newark,Newark and Sherwood
Newark and Sherwood District,Newark and Sherwood
Newark and Sherwood District Council,Newark and Sherwood
Newark and Sherwell,Newark and Sherwood
Newcastle,Newcastle upon Tyne
Co Down,"Newry, Mourne and Down"
"Co Down [Newry, Mourne and Down]","Newry, Mourne and Down"
Salisbury,Salisbury
Slough Borough Council,Slough
Taunton,Somerset West and Taunton
Taunton Deane,Somerset West and Taunton
South Kesteven District,South Kesteven
South Kesteven District Council,South Kesteven
Entity is a location within Southampton,Southampton
City of Southampton,Southampton
St Helens,St. Helens
St Helens Borough Council,St. Helens
T Trafford,Trafford
City of Westminster,Westminster
Wigan Borough,Wigan
Borough of Maidenhead,Windsor and Maidenhead
Maidenhead,Windsor and Maidenhead
Royal Borough of Windsor and Maidenhead,Windsor and Maidenhead
