doc,group_id,entity,options,main_LAD,domain,article_id_group
"It means that of Mendip's 154 pubs, bars and nightclubs with ratings, 110 (71%) have ratings of five and just one has a zero rating.",ID_39,Mendip,"Ashford; Bath and North East Somerset; Breckland; Bristol, City of; Cheltenham; Somerset; South Oxfordshire",Bath and North East Somerset,mnrjournal.co.uk,article-1020041
It was thanks to Colebrooke Parish Council that the work was done. Money had come from Network Rail for use of the car park at Penstone while the new railway bridge and other work was done and some of this paid for half of the cost with the rest coming from Devon County Council.,ID_40,Penstone,Cardiff; East Devon; Mid Devon,Mid Devon,creditoncourier.co.uk,article-1026013
"It will come as no surprise that London has some of the priciest areas to buy property in the whole of England, according to figures sourced from the Office for National Statistics (ONS).

In fact, the 20 most expensive neighbourhoods in England - where you will need at least £1.2 million to get on the property ladder - can all be found in the capital city.

If you have a generous budget, Knightsbridge, Belgravia & Hyde Park in Westminster may be the place for you.

This exclusive London neighbourhood has the highest property prices in the whole of the country and will set you back a cool £2.83 million, on average, to move there.

Fortunately, the average price in the most expensive areas of [local authority] are not quite that high.

But these upscale neighbourhoods will still cost you a pretty penny.

Here we reveal the 22 most expensive neighbourhoods in Wakefield

The figures, sourced from the ONS using Land Registry data, shows the median price paid in each neighbourhood in the 12 months to June 2021.

1 . Sandal The average property price in Sandal was £320,000. Photo Sales

2 . Walton, Woolley and Bretton The average property price in Walton, Woolley and Bretton was £265,000. Photo Sales

3 . Ackworth and Darrington The average property price in Ackworth and Darrington was £229,250. Photo Sales",ID_41,Knightsbridge,Aberdeenshire; Cheltenham; Derby; East Lindsey; Kensington and Chelsea; Newcastle upon Tyne; Stockport; Sunderland; Westminster,Wakefield,wakefieldexpress.co.uk,article-1027373
"It will come as no surprise that London has some of the priciest areas to buy property in the whole of England, according to figures sourced from the Office for National Statistics (ONS).

In fact, the 20 most expensive neighbourhoods in England - where you will need at least £1.2 million to get on the property ladder - can all be found in the capital city.

If you have a generous budget, Knightsbridge, Belgravia & Hyde Park in Westminster may be the place for you.

This exclusive London neighbourhood has the highest property prices in the whole of the country and will set you back a cool £2.83 million, on average, to move there.

Fortunately, the average price in the most expensive areas of [local authority] are not quite that high.

But these upscale neighbourhoods will still cost you a pretty penny.

Here we reveal the 22 most expensive neighbourhoods in Wakefield

The figures, sourced from the ONS using Land Registry data, shows the median price paid in each neighbourhood in the 12 months to June 2021.

1 . Sandal The average property price in Sandal was £320,000. Photo Sales

2 . Walton, Woolley and Bretton The average property price in Walton, Woolley and Bretton was £265,000. Photo Sales

3 . Ackworth and Darrington The average property price in Ackworth and Darrington was £229,250. Photo Sales",ID_41,Belgravia & Hyde Park,Westminster,Wakefield,wakefieldexpress.co.uk,article-1027373
"It will come as no surprise that London has some of the priciest areas to buy property in the whole of England, according to figures sourced from the Office for National Statistics (ONS).

In fact, the 20 most expensive neighbourhoods in England - where you will need at least £1.2 million to get on the property ladder - can all be found in the capital city.

If you have a generous budget, Knightsbridge, Belgravia & Hyde Park in Westminster may be the place for you.

This exclusive London neighbourhood has the highest property prices in the whole of the country and will set you back a cool £2.83 million, on average, to move there.

Fortunately, the average price in the most expensive areas of [local authority] are not quite that high.

But these upscale neighbourhoods will still cost you a pretty penny.

Here we reveal the 22 most expensive neighbourhoods in Wakefield

The figures, sourced from the ONS using Land Registry data, shows the median price paid in each neighbourhood in the 12 months to June 2021.

1 . Sandal The average property price in Sandal was £320,000. Photo Sales

2 . Walton, Woolley and Bretton The average property price in Walton, Woolley and Bretton was £265,000. Photo Sales

3 . Ackworth and Darrington The average property price in Ackworth and Darrington was £229,250. Photo Sales",ID_41,Wakefield,North Northamptonshire; Wakefield,Wakefield,wakefieldexpress.co.uk,article-1027373
"It will come as no surprise that London has some of the priciest areas to buy property in the whole of England, according to figures sourced from the Office for National Statistics (ONS).

In fact, the 20 most expensive neighbourhoods in England - where you will need at least £1.2 million to get on the property ladder - can all be found in the capital city.

If you have a generous budget, Knightsbridge, Belgravia & Hyde Park in Westminster may be the place for you.

This exclusive London neighbourhood has the highest property prices in the whole of the country and will set you back a cool £2.83 million, on average, to move there.

Fortunately, the average price in the most expensive areas of [local authority] are not quite that high.

But these upscale neighbourhoods will still cost you a pretty penny.

Here we reveal the 22 most expensive neighbourhoods in Wakefield

The figures, sourced from the ONS using Land Registry data, shows the median price paid in each neighbourhood in the 12 months to June 2021.

1 . Sandal The average property price in Sandal was £320,000. Photo Sales

2 . Walton, Woolley and Bretton The average property price in Walton, Woolley and Bretton was £265,000. Photo Sales

3 . Ackworth and Darrington The average property price in Ackworth and Darrington was £229,250. Photo Sales",ID_41,Sandal,Wakefield; Westmorland and Furness,Wakefield,wakefieldexpress.co.uk,article-1027373
"It will come as no surprise that London has some of the priciest areas to buy property in the whole of England, according to figures sourced from the Office for National Statistics (ONS).

In fact, the 20 most expensive neighbourhoods in England - where you will need at least £1.2 million to get on the property ladder - can all be found in the capital city.

If you have a generous budget, Knightsbridge, Belgravia & Hyde Park in Westminster may be the place for you.

This exclusive London neighbourhood has the highest property prices in the whole of the country and will set you back a cool £2.83 million, on average, to move there.

Fortunately, the average price in the most expensive areas of [local authority] are not quite that high.

But these upscale neighbourhoods will still cost you a pretty penny.

Here we reveal the 22 most expensive neighbourhoods in Wakefield

The figures, sourced from the ONS using Land Registry data, shows the median price paid in each neighbourhood in the 12 months to June 2021.

1 . Sandal The average property price in Sandal was £320,000. Photo Sales

2 . Walton, Woolley and Bretton The average property price in Walton, Woolley and Bretton was £265,000. Photo Sales

3 . Ackworth and Darrington The average property price in Ackworth and Darrington was £229,250. Photo Sales",ID_41,Walton,Buckinghamshire; Chesterfield; Cumberland; East Suffolk; Harborough; Leeds; Liverpool; Milton Keynes; Newcastle-under-Lyme; Peterborough; Powys; Sefton; Shropshire; Somerset; Stafford; Stratford-on-Avon; Telford and Wrekin; Wakefield,Wakefield,wakefieldexpress.co.uk,article-1027373
"It will come as no surprise that London has some of the priciest areas to buy property in the whole of England, according to figures sourced from the Office for National Statistics (ONS).

In fact, the 20 most expensive neighbourhoods in England - where you will need at least £1.2 million to get on the property ladder - can all be found in the capital city.

If you have a generous budget, Knightsbridge, Belgravia & Hyde Park in Westminster may be the place for you.

This exclusive London neighbourhood has the highest property prices in the whole of the country and will set you back a cool £2.83 million, on average, to move there.

Fortunately, the average price in the most expensive areas of [local authority] are not quite that high.

But these upscale neighbourhoods will still cost you a pretty penny.

Here we reveal the 22 most expensive neighbourhoods in Wakefield

The figures, sourced from the ONS using Land Registry data, shows the median price paid in each neighbourhood in the 12 months to June 2021.

1 . Sandal The average property price in Sandal was £320,000. Photo Sales

2 . Walton, Woolley and Bretton The average property price in Walton, Woolley and Bretton was £265,000. Photo Sales

3 . Ackworth and Darrington The average property price in Ackworth and Darrington was £229,250. Photo Sales",ID_41,Woolley,Amber Valley; Bath and North East Somerset; Cornwall; High Peak; Huntingdonshire; Wakefield; Wiltshire,Wakefield,wakefieldexpress.co.uk,article-1027373
"It will come as no surprise that London has some of the priciest areas to buy property in the whole of England, according to figures sourced from the Office for National Statistics (ONS).

In fact, the 20 most expensive neighbourhoods in England - where you will need at least £1.2 million to get on the property ladder - can all be found in the capital city.

If you have a generous budget, Knightsbridge, Belgravia & Hyde Park in Westminster may be the place for you.

This exclusive London neighbourhood has the highest property prices in the whole of the country and will set you back a cool £2.83 million, on average, to move there.

Fortunately, the average price in the most expensive areas of [local authority] are not quite that high.

But these upscale neighbourhoods will still cost you a pretty penny.

Here we reveal the 22 most expensive neighbourhoods in Wakefield

The figures, sourced from the ONS using Land Registry data, shows the median price paid in each neighbourhood in the 12 months to June 2021.

1 . Sandal The average property price in Sandal was £320,000. Photo Sales

2 . Walton, Woolley and Bretton The average property price in Walton, Woolley and Bretton was £265,000. Photo Sales

3 . Ackworth and Darrington The average property price in Ackworth and Darrington was £229,250. Photo Sales",ID_41,Bretton,Cheshire West and Chester; Derbyshire Dales; Mid Sussex; Peterborough,Wakefield,wakefieldexpress.co.uk,article-1027373
"It will come as no surprise that London has some of the priciest areas to buy property in the whole of England, according to figures sourced from the Office for National Statistics (ONS).

In fact, the 20 most expensive neighbourhoods in England - where you will need at least £1.2 million to get on the property ladder - can all be found in the capital city.

If you have a generous budget, Knightsbridge, Belgravia & Hyde Park in Westminster may be the place for you.

This exclusive London neighbourhood has the highest property prices in the whole of the country and will set you back a cool £2.83 million, on average, to move there.

Fortunately, the average price in the most expensive areas of [local authority] are not quite that high.

But these upscale neighbourhoods will still cost you a pretty penny.

Here we reveal the 22 most expensive neighbourhoods in Wakefield

The figures, sourced from the ONS using Land Registry data, shows the median price paid in each neighbourhood in the 12 months to June 2021.

1 . Sandal The average property price in Sandal was £320,000. Photo Sales

2 . Walton, Woolley and Bretton The average property price in Walton, Woolley and Bretton was £265,000. Photo Sales

3 . Ackworth and Darrington The average property price in Ackworth and Darrington was £229,250. Photo Sales",ID_41,Ackworth,Wakefield,Wakefield,wakefieldexpress.co.uk,article-1027373
